Name,Referenced In,Affiliated Organizations,Link,Geography Name,Geography Level,Type,Topic,Contact
Smart City Playbook,1,City of Boston,https://monum.github.io/playbook/,"Boston, Massachusetts",local,strategy,smart cities,
Resilient Boston Strategy for Racial Equity,1,City of Boston,https://www.boston.gov/sites/default/files/file/document_files/2017/07/resilient_boston.pdf,"Boston, Massachusetts",local,strategy,equity,
Smart City PHL Roadmap,1,City of Philadelphia,https://www.phila.gov/media/20190204121858/SmartCityPHL-Roadmap.pdf,"Philadelphia, Pennsylvania",local,strategy,smart cities,Andrew.Buss@phila.gov
StreetCaster,2,City of Boston,https://www.boston.gov/streets-and-sanitation/streetcaster,"Boston, Massachusetts",local,program,data analytics,stefanie.costaleabo@boston.gov
Measure Austin,2,,https://www.measureaustin.org/,"Austin, Texas",local,partnership,data analytics,
Robot Block Party,3,City of Boston,https://www.boston.com/news/technology/2017/10/15/robots-to-take-over-bostons-city-hall-plaza-as-part-of-hubweek,"Boston, Massachusetts",local,program,community engagement,
Ladder of Stakeholder Participation,3,City of Philadelphia; Service Design Studio,https://www.phila.gov/2019-03-26-the-story-of-us/,"Philadelphia, Pennsylvania",local,strategy,community engagement,Liana.Dragoman@Phila.gov
Inclusive Innovation Summit,3,City of Pittsburgh,https://weinnovatepgh.net/inclusive-innovation-summit-2019/,"Pittsburgh, Pennsylvania",local,program,community engagement,itha.cao@pittsburghpa.gov
Civic Engagement Spectrum of Methods,3,Benton Institute for Broadband & Society,https://www.benton.org/sites/default/files/inclusive_tech_final.pdf,United States,local,tool,community engagement,driedl@southbendin.gov 
Equity Consulting Advisor Group,3,City of Portland,https://www.smartcitypdx.com/news/2019/10/9/smart-city-pdx-tests-new-model-for-engaging-community-leaders-equity-experts,"Portland, Oregon",local,program,equity,Christine.Kendrick@portlandoregon.gov
Community Engagement Research Project,3,City of Portland,,"Portland, Oregon",local,program,community engagement,Christine.Kendrick@portlandoregon.gov
Office of Neighborhood Services,3,City of Boston,https://www.boston.gov/departments/neighborhood-services,"Boston, Massachusetts",local,partnership,community engagement,
Mayor's Office of Civic Engagement and Volunteer Services,3,City of Philadelphia,https://www.phila.gov/departments/mayors-office-of-civic-engagement-and-volunteer-service/,"Philadelphia, Pennsylvania",local,partnership,community engagement,
Array of Things Civic Engagement Report,3,City of Chicago,https://arrayofthings.github.io/engagement-report.html,"Chicago, Illinois",local,report,community engagement,
Smart Work Learn Play,3,Housing Authority of the City of Austin,"https://gctc.opencommons.org/Smart_Work_Learn_Play_-_Participatory_Smart_City_Innovation_and_Digital_Inclusion_in_Public_and_Subsidized_Housing#:~:text=Smart%20Work%20Learn%20Play%2C%20initiated,of%20smart%20cities%20technologies%20are","Austin, Texas",local,program,digital inclusion,
